text,label
Ok,Positive
Breakfast is amazing!!!,Positive
"I've used Carson for a window project in my home this spring and he did a great job.  Fair pricing, great work ethic and really worked to do a good job.

I also own a commercial services company that has followed up with the post construction clean up of his work.  Carson did a fantastic job on the remodel and cleaned up after himself extremely well making my job as a carpet cleaning contractor and post construction clean up extremely easy.  My crew pointed out that they would LOVE to follow up after Carson more often.  It's always nice to see someone take pride in their work and clean up.

Carson is booked up a lot-- The good ones usually are in his trade.  If you get a chance to work with him you will not be disappointed in his devotion to his work",Positive
Great food. Great people,Positive
"Great,  friendly.  Such a wonderful option for shopping in the community! Thank you Dollar General!",Positive
A little too spendy. Waitress a little spacey. But best pizza in town!!!,Positive
Plenty of parking and good retail location,Positive
"You can never win!  Machines, or the table.",Negative
"Dope breakfast on my end but pass on the eggs Benny if you want a proper poach, usually come out overdone(more than 2 experiences). That being said the French toast is killer and the syrup they use has some undefinable smokiness to it, delicious!",Positive
"My husband was sceptical, but we really enjoyed our visit. Definitely recommend the Alligator show. We really enjoyed learning about all the rare snakes that Reptile Gardens has. Great for the family.",Positive
"We just drove by it this last time, didn't go there",Negative
"Unexpected car repairs are always stressful and I'm thrilled to say I've found my go-to auto repair shop. My ignition switch recently failed and J & M Transmission was able to get me in the same day while approaching the problem with my pocketbook in mind. Their customer service is courteous and put my mind at ease by initially giving me a guess at the price range I could expect, along with the promise to not start any extensive repairs without calling me and reviewing the ""diagnosis"" and solutions. The mechanical failure was, thankfully, not major and they had me back on the road within a couple hours. I'll happily give them my business in the future.",Positive
Thank you Anthony!!   This was the easiest buying experience in a long time.  Usually have to deal with a bunch of paperwork.  Anthony is very down to earth and answered all of the questions that I had.  I even asked the dumb ones.   Not likely but leaning towards sending him a COWBOYS poster for his office.  Ha Ha!!,Positive
"Jeff was wonderful.   Prompt, professional and very attentive to detail.  Appreciate so much the timely service.   Grateful for everything.",Positive
Prices are astronomical but they know they are the only place for repair around. Wouldn't recommend it if you can help it.,Negative
Good bbq friend someone from St Louis.  No ice cream in the machine. If so this would be 5 stars.,Negative
Good food at a good price.,Positive
Great money saving store. Retired estimate buy 70 percent of our items there Love it please keep up the great work. Best day in our area is Wedsday am,Positive
Decent food. Average service,Positive
It was fun,Positive
Got billed for food we didn't even order & got ignored for the first 30 min after they sat us. Horrible service food ain't to bad,Negative
"Walked in hoping to to get back into Magic the Gathering for the first time since 2006 as I felt incredibly overwhelmed shopping online since the game has changed so much since then. There were about four people behind the counter working and doing tasks and about six people at tables playing games, just like the good old days. I was so excited to rejoin the Magic community and relearn the game that had driven me to the collectible card games what seemed like so long ago. They seemed incredibly skeptical as I tried to explain that I came from legacy era and had a ton of old cards but didn't know where to start in standard. I used to shop at DD a ton when it had a previous owner and loved going there every Friday for Magic nights with friends from High School and later college. I even drove from Vermillion to come here because I loved the atmosphere of the Dragon's Den. Now I feel like it doesn't really have an inviting atmosphere and the people who either work there or own it do not seem to care about bringing new people to the store or taking an active interest in their customers. I can't say that I was treated poorly but I do not feel like I was assisted as I used to be or offered a place where I could go and get away from the world. My expectations might have been too high. I may attempt to check it out again at a later date but I was quite disappointed with the service provided and hope that others who have interest in joining MTG or other games that DD sells would be given a better experience.",Negative
I slept very well a fair value,Positive
Very gracious and accommodating 😊,Positive
"Very well appointed rooms and very clean. Comfortable beds. Very nice view of the river out my window. Breakfast quality not quite up to par with the rest of the hotel nor is the fitness center though the pool, I didn't use, looks very nice.",Positive
Good service!,Positive
"Not as good as Grandma's fried chicken, but for pizza it's hard to beat.",Negative
"I really love my Hy-Vee, they are always so friendly and helpful 😁😁😍",Positive
"Great people, professional work.   I could not be more pleased with the work they did for me.",Positive
"My husband and I split  the SUPER CINCO PLATTER each time we go there. It makes it really convenient. It's not super expensive to begin with, but there is enough on the Platter to divide between us and it all gets eaten :) Everyone there is extremely nice and make it worth going. I would recommend CHEVY'S to anyone! Thank you for being so great!!",Positive
"It was time to upgrade to a new phone so out of convenience, I went to the closest Verizon location. I told them I would like help with transferring over my data from my old phone. I was given a printout of “do it yourself” instructions. They didn’t even take my new phone out the box (which was a new experience). I again commented that I wasn’t confident in my ability to set up the new phone—the sales associate went over the handout with me again and sent me on my way. I was told my old phone would work until the new phone was powered on. However, this was not the case. My old phone did not work and my new phone was still wrapped in a box. I spent about one hour trying to transfer all my data without any luck and then decided to try a different Verizon location. Thank goodness I did. Going forward, I will only go to this Verizon location. The service wasn’t fast, but that’s because they are extremely thorough and helpful. They aren’t just pushing people out he door—they are helping them. It’s worth the wait!!! After my first rushed experience at another location, this was a breath of fresh air. Jason Lamkin was able to transfer all my data over (which was more complicated than usual because I was trying to merge two different sets of data) and I left not only happy but relieved. I highly recommend this location to anyone that wants personalized service.",Positive
🔥🔥🔥,Negative
Service was great. .food great as always,Positive
"Took care of our family during our breakfast, after a family members loss. Very attentive and accommodating.",Positive
Good food & service.,Positive
A very good place to go & have a nice  evening!!,Positive
"A big hole in the ground!  Attended Nuetrio day just by chance while in the hills.  Great info on the history of mining in Lead, SD and research that lead to a Nobel Prize.",Positive
"Shopping, food, at one great location...what more do you want??",Positive
was enjoying the store and the employees until yesterday when i purchased a vape that had 1600 puffs didn’t even have it for an hour and it was already blinking. i better get a refund.,Negative
"Of course it's awesome,it's a national park! Wonderful drive through lunar landscapes,giant prairie dog towns,and sharp rugged cliffs.On our visit,we saw bison,prairie dogs,big horn sheep,and mule deer.My wife also found 2 fossils which were documented with the park service.Don't miss out on a chance to visit any national park.",Positive
"Absolutely beautiful park.  Worth a detour drive-through if you're travelling on I-90, but also has a lot of short hikes if you have more time.  I would highly suggest Notch Trail, it is by far my favorite in the park.  The round trip takes me about 45 minutes (26 year old male).  If you have even more time and it's a clear day, stay after nightfall to attend the night sky program at the amphitheater.  The park has one of the darkest skies around, so it is well worth your time.",Positive
Great facility and amazing providers. EZ to get an appointment and call center receivers are super nice and understanding.  We instantly liked Dr. Strausburg  when we met with her. She is very detailed and professional. She takes time with her patients and is a committed and compassionate doctor.  We love her and hope to be her patients for a long time.,Positive
It was awesome!,Positive
"The food is always amazing when I go, and I've been at all hours of the day, be it lunch rush, or middle of the night.",Positive
BEST PLACE EVER!!,Positive
"We were very pleasantly surprised by our dinner at Ruby Tuesday. The food, for a chain restaurant, was excellent. I had the pork chop, and it was as tender as you could wish, with lots of flavor. Even better, the broccoli was cooked to perfection, much better than I have experienced in far more expensive restaurants. Sounds kind of odd praising the broccoli, but if a kitchen can cook their vegetables this well, the rest of the meal will be outstanding. -:)",Positive
Had late lunch -house special pot pie for husband and mac and cheese for me saving room for pie a la mode dessert. Pie was great ice cream even better. I had cherry he had blueberry. Super Yummy!,Positive
Service was fast,Positive
Did a very good job on our camper,Positive
"Service was great, rooms were updated and clean, beds were comfortable, free bottled water in every room. Continental breakfast was boring and water pressure was pretty low for showers, but overall good experience!",Positive
Really cool side of the road stop,Positive
"Great spot overlooking mountains, after visiting My Rushmore, and before Custer State National park.",Positive
Pancakes are good.,Positive
Great food and service everytime i eat there,Positive
Love their nuggets,Positive
Very nice company,Positive
Very nice love the decor this is definitely a must visit if your near Mt. Rushmore,Positive
